trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
287,False,"{'a': 0.7, 'e': 0.0566989265798469}",20,13,16.418370256430705,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.7, 'e': 0.056134762834133725}",25,10,28.834294416822416,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.7, 'e': 0.05557621261148306}",20,4,26.668560716036605,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.7, 'e': 0.05502322005640723}",25,13,17.311332263082534,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.7, 'e': 0.05447572986918986}",35,21,23.44050902319157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.7, 'e': 0.05393368730035602}",20,14,9.473236686425373,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.7, 'e': 0.053397038145197084}",20,4,9.688399152849591,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
294,False,"{'a': 0.7, 'e': 0.05286572873835037}",20,12,16.48348111211512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.7, 'e': 0.05233970594843238}",25,15,14.526802530379952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.7, 'e': 0.05181891717272583}",20,13,12.09530046362467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.7, 'e': 0.05130331033191911}",20,7,18.129657373965095,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.7, 'e': 0.0507928338648985}",20,8,24.153792085402095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.7, 'e': 0.050287436723591865}",25,12,-2.7577765713765947,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
300,False,"{'a': 0.7, 'e': 0.049787068367863944}",20,8,24.743055845460965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,6,32.22053415656132,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,25.04996767215517,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,8,40.58025505849442,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,12,32.54696570641244,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,19,11.34387914733368,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,21,13.587972680731822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,30.680192332618507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,12,30.881914632594857,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,15.100473706014403,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,27.20088420059063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
